Ano;Esforço PF
2009;420,00
2009;8,88
2009;33,00
2009;8,00
2014;6,00
2007;950,00
2008;9,00
2008;71,00
2008;2,25
2012;14,00
2008;26,00
2008;22,00
2013;452,00
2017;12,00
2008;1.068,77
2008;1.030,87
2008;780,71
2008;1.944,11
2008;118,93
2009;80,00
2009;2.485,03
2009;32,00
2009;36,69
2009;22,25
2009;1,77
2006;922,32
2006;1.225,00
2009;7,00
2009;88,02
2008;7,77
2008;92,00
2014;10,00
2009;61,97
2009;81,20
2006;1.322,44
2009;699,96
2008;48,00
2015;52,75
2007;1.093,47
2009;36,55
2007;333,00
2007;90,00
2015;10,00
2020;7,00
2007;333,84
2009;258,25
2009;1.157,30
2016;73,55
2007;702,27
2007;360,00
2009;10,40
2010;99,80
2009;468,15
2011;3,00
2009;107,00
2009;53,00
2008;29,00
2009;228,00
2014;3,00
2005;50,00
2009;24,00
2009;493,55
2010;7,00
2009;156,00
2010;21,00
2010;92,00
2008;38,37
2009;20,00
2006;1.272,02
2010;204,88
2012;20,70
2010;36,00
2010;7,00
2014;6,00
2009;652,00
2010;438,25
2010;435,00
2009;30,00
2009;30,00
2017;110,00
2009;12,00
2015;17,25
2009;133,99
2009;7,00
2009;22,21
2013;875,32
2013;134,00
2009;115,00
2009;172,00
2009;27,10
2009;8,40
2014;16,00
2010;13,00
2013;27,30
2015;29,75
2010;30,00
2010;15,00
2010;6,00
2010;6,00
2010;29,00
2010;79,00
2012;61,60
2010;13,00
2010;50,00
2010;406,70
2014;28,10
2010;18,24
2010;107,55
2010;373,35
2009;9,60
2010;7,00
2009;8,00
2010;55,80
2010;24,00
2014;25,35
2010;61,00
2010;6,66
2009;10,00
2010;142,00
2010;164,00
2010;13,00
2010;1,00
2010;56,50
2010;43,25
2008;99,15
2010;329,00
2010;38,00
2010;36,57
2010;15,00
2010;232,40
2009;6,00
2010;51,00
2010;200,00
2010;410,00
2010;18,00
2010;1,20
2010;215,40
2014;62,00
2009;281,00
2010;13,00
2016;33,25
2010;34,00
2016;144,00
2016;46,50
2017;15,00
2010;7,00
2010;211,00
2010;360,50
2014;6,00
2010;323,00
2015;1.447,20
2014;54,85
2008;19,00
2014;13,80
2010;17,00
2010;882,61
2009;6,00
2012;11,17
2010;430,00
2012;26,50
2013;480,55
2014;197,75
2017;10,50
2010;18,00
2011;7,00
2010;6,50
2010;23,00
2010;6,00
2014;2,25
2017;17,00
2017;82,00
2017;56,00
2017;16,00
2017;12,00
2014;12,15
2017;13,00
2014;20,66
2013;21,00
2013;31,00
2017;61,50
2014;81,50
2014;289,48
2008;103,00
2017;12,00
2014;12,00
2014;117,79
2012;14,00
2013;264,00
2012;38,36
2014;15,00
2017;260,25
2014;17,70
2017;220,16
2014;113,40
2014;52,50
2014;5,00
2014;19,20
2014;14,00
2014;387,90
2012;308,00
2013;11,80
2014;11,00
2014;18,75
2014;3,00
2017;29,00
2014;25,40
2014;127,18
2014;175,83
2014;106,58
2014;17,25
2017;149,77
2012;43,50
2014;25,40
2014;200,00
2014;6,00
2017;149,77
2014;200,00
2014;200,00
2014;300,00
2014;24,00
2014;153,90
2017;26,95
2017;40,50
