Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês;ANO_ASSIN;TEMPO_ENTREGA
420,0;2009;2012-02-02;2009-12-27;01/12/09;2012,0;767,0
33,0;2009;2017-03-15;2009-12-08;01/12/09;2017,0;2654,0
950,0;2007;2013-05-13;2007-08-21;01/08/07;2013,0;2092,0
9,0;2008;2016-10-27;2008-11-18;01/11/08;2016,0;2900,0
71,0;2008;2013-05-06;2008-11-26;01/11/08;2013,0;1622,0
2,25;2008;2012-07-04;2008-11-25;01/11/08;2012,0;1317,0
14,0;2012;2012-02-06;2012-01-17;01/01/12;2012,0;20,0
26,0;2008;2013-06-20;2008-11-10;01/11/08;2013,0;1683,0
22,0;2008;2013-09-12;2008-11-04;01/11/08;2013,0;1773,0
1068,77;2008;2016-01-21;2008-10-15;01/10/08;2016,0;2654,0
1030,87;2008;2013-04-30;2008-10-15;01/10/08;2013,0;1658,0
780,71;2008;2016-02-17;2008-10-15;01/10/08;2016,0;2681,0
1944,11;2008;2013-11-18;2008-10-15;01/10/08;2013,0;1860,0
118,93;2008;2014-02-10;2008-08-05;01/08/08;2014,0;2015,0
32,0;2009;2014-12-19;2009-10-07;01/10/09;2014,0;1899,0
22,25;2009;2015-03-27;2009-10-06;01/10/09;2015,0;1998,0
922,32;2006;2016-01-25;2006-09-06;01/09/06;2016,0;3428,0
1225,0;2006;2016-01-25;2006-09-06;01/09/06;2016,0;3428,0
7,0;2009;2013-03-07;2009-09-23;01/09/09;2013,0;1261,0
88,02;2009;2015-05-11;2009-09-29;01/09/09;2015,0;2050,0
92,0;2008;2012-01-13;2008-08-26;01/08/08;2012,0;1235,0
61,97;2009;2015-11-10;2009-07-30;01/07/09;2015,0;2294,0
81,2;2009;2013-05-31;2009-07-30;01/07/09;2013,0;1401,0
1322,44;2006;2016-02-17;2006-07-20;01/07/06;2016,0;3499,0
699,96;2009;2016-03-01;2009-07-03;01/07/09;2016,0;2433,0
52,75;2015;2016-05-19;2015-09-28;01/09/15;2016,0;234,0
1093,47;2007;2016-01-21;2007-04-04;01/04/07;2016,0;3214,0
36,55;2009;2015-11-24;2009-04-20;01/04/09;2015,0;2409,0
333,0;2007;2012-12-07;2007-09-03;01/09/07;2012,0;1922,0
90,0;2007;2012-12-07;2007-08-13;01/08/07;2012,0;1943,0
7,0;2020;2020-06-03;2020-01-30;01/01/20;2020,0;125,0
333,84;2007;2015-10-21;2007-03-14;01/03/07;2015,0;3143,0
258,25;2009;2012-01-18;2009-03-27;01/03/09;2012,0;1027,0
1157,3;2009;2017-09-12;2009-10-08;01/10/09;2017,0;2896,0
702,27;2007;2016-01-20;2007-03-02;01/03/07;2016,0;3246,0
360,0;2007;2012-12-12;2007-07-16;01/07/07;2012,0;1976,0
99,8;2010;2012-06-13;2010-03-10;01/03/10;2012,0;826,0
468,15;2009;2013-10-24;2009-10-01;01/10/09;2013,0;1484,0
3,0;2011;2011-06-06;2011-05-09;01/05/11;2011,0;28,0
107,0;2009;2013-03-26;2009-04-30;01/04/09;2013,0;1426,0
53,0;2009;2012-08-31;2009-04-30;01/04/09;2012,0;1219,0
29,0;2008;2014-11-10;2008-02-22;01/02/08;2014,0;2453,0
228,0;2009;2012-07-18;2009-09-17;01/09/09;2012,0;1035,0
3,0;2014;2015-02-27;2014-08-04;01/08/14;2015,0;207,0
50,0;2005;2012-12-07;2005-03-03;01/03/05;2012,0;2836,0
7,0;2010;2012-05-18;2010-01-27;01/01/10;2012,0;842,0
21,0;2010;2014-10-21;2010-05-04;01/05/10;2014,0;1631,0
38,37;2008;2016-07-27;2008-01-20;01/01/08;2016,0;3111,0
20,0;2009;2012-08-07;2009-03-30;01/03/09;2012,0;1226,0
1272,02;2006;2016-01-25;2006-01-09;01/01/06;2016,0;3668,0
204,88;2010;2016-11-18;2010-02-08;01/02/10;2016,0;2475,0
20,7;2012;2013-10-01;2012-03-19;01/03/12;2013,0;561,0
36,0;2010;2012-03-26;2010-01-11;01/01/10;2012,0;805,0
7,0;2010;2011-06-14;2010-01-05;01/01/10;2011,0;525,0
652,0;2009;2014-10-03;2009-04-24;01/04/09;2014,0;1988,0
438,25;2010;2017-07-03;2010-01-10;01/01/10;2017,0;2731,0
435,0;2010;2014-12-10;2010-06-30;01/06/10;2014,0;1624,0
30,0;2009;2012-05-07;2009-11-27;01/11/09;2012,0;892,0
30,0;2009;2012-05-07;2009-11-27;01/11/09;2012,0;892,0
12,0;2009;2013-09-19;2009-11-16;01/11/09;2013,0;1403,0
17,25;2015;2017-04-27;2015-11-12;01/11/15;2017,0;532,0
