Esforço PF;Ano;Data Assinatura Anexo 4/5 Prest. Serv.;Data de Aprovação do Titular;Mês
420;2009;02/02/2012;27/12/2009;01/12/09
8,88;2009;;21/12/2009;01/12/09
33;2009;15/03/2017;08/12/2009;01/12/09
8;2009;;03/12/2009;01/12/09
6;2014;;28/07/2014;01/07/14
950;2007;13/05/2013;21/08/2007;01/08/07
9;2008;27/10/2016;18/11/2008;01/11/08
71;2008;06/05/2013;26/11/2008;01/11/08
2,25;2008;04/07/2012;25/11/2008;01/11/08
14;2012;06/02/2012;17/01/2012;01/01/12
26;2008;20/06/2013;10/11/2008;01/11/08
22;2008;12/09/2013;04/11/2008;01/11/08
452;2013;;30/05/2013;01/05/13
12;2017;;02/03/2017;01/03/17
1068,77;2008;21/01/2016;15/10/2008;01/10/08
1030,87;2008;30/04/2013;15/10/2008;01/10/08
780,71;2008;17/02/2016;15/10/2008;01/10/08
1944,11;2008;18/11/2013;15/10/2008;01/10/08
118,93;2008;10/02/2014;05/08/2008;01/08/08
80;2009;;13/10/2009;01/10/09
2485,03;2009;;09/10/2009;01/10/09
32;2009;19/12/2014;07/10/2009;01/10/09
36,69;2009;;06/10/2009;01/10/09
22,25;2009;27/03/2015;06/10/2009;01/10/09
1,77;2009;;02/10/2009;01/10/09
922,32;2006;25/01/2016;06/09/2006;01/09/06
1225;2006;25/01/2016;06/09/2006;01/09/06
7;2009;07/03/2013;23/09/2009;01/09/09
88,02;2009;11/05/2015;29/09/2009;01/09/09
7,77;2008;;26/08/2008;01/08/08
92;2008;13/01/2012;26/08/2008;01/08/08
10;2014;;26/05/2014;01/05/14
61,97;2009;10/11/2015;30/07/2009;01/07/09
81,2;2009;31/05/2013;30/07/2009;01/07/09
1322,44;2006;17/02/2016;20/07/2006;01/07/06
699,96;2009;01/03/2016;03/07/2009;01/07/09
48;2008;;11/07/2008;01/07/08
52,75;2015;19/05/2016;28/09/2015;01/09/15
1093,47;2007;21/01/2016;04/04/2007;01/04/07
36,55;2009;24/11/2015;20/04/2009;01/04/09
333;2007;07/12/2012;03/09/2007;01/09/07
90;2007;07/12/2012;13/08/2007;01/08/07
10;2015;;01/04/2015;01/04/15
7;2020;03/06/2020;30/01/2020;01/01/20
333,84;2007;21/10/2015;14/03/2007;01/03/07
258,25;2009;18/01/2012;27/03/2009;01/03/09
1157,3;2009;12/09/2017;08/10/2009;01/10/09
73,55;2016;;20/01/2016;01/01/16
702,27;2007;20/01/2016;02/03/2007;01/03/07
360;2007;12/12/2012;16/07/2007;01/07/07
10,4;2009;;14/05/2009;01/05/09
99,8;2010;13/06/2012;10/03/2010;01/03/10
